Product_ID,Product_Name,Category,Sub_Category,Price,Discount_Price,Ratings,Reviews,Seller_Name,Delivery_Time,Availability
MS001,Women Rayon Printed Kurti,Clothing,Kurtis,699,349,4.2,1250,TrendyHub,5-7 Days,In-Stock
MS002,Cotton Blend Saree,Clothing,Sarees,1199,549,4,980,SareeVilla,6-8 Days,In-Stock
MS003,Men Casual Slim Fit Shirt,Men Fashion,Shirts,799,399,4.3,650,UrbanWear,4-6 Days,In-Stock
MS004,Women Ankle Length Leggings,Clothing,Bottomwear,299,179,4.1,1150,LeggingsWorld,5-7 Days,In-Stock
MS005,Stainless Steel Water Bottle 1L,Home,Kitchen,499,249,4.5,820,HomeEssentials,3-5 Days,In-Stock
MS006,Printed Bedsheet with Pillow Covers,Home,Bedding,899,499,4.2,720,DecorMagic,5-8 Days,In-Stock
MS007,Soft Baby Cotton Romper,Kids,Babywear,499,259,4.6,500,LittleStars,4-6 Days,In-Stock
MS008,Women Faux Leather Handbag,Accessories,Bags,1299,699,4.3,430,FashionBagHub,5-7 Days,In-Stock
MS009,Men Running Sports Shoes,Footwear,Sports Shoes,1499,799,4.4,780,Sportify,4-6 Days,In-Stock
MS010,Women Oxidised Silver Earrings,Jewellery,Earrings,399,189,4.5,1050,JewelWorld,3-5 Days,In-Stock
MS011,Microfiber Double Bedsheet,Home,Bedding,999,499,4.2,620,ComfortZone,5-7 Days,In-Stock
MS012,Men Denim Jeans,Men Fashion,Jeans,1199,699,4.1,540,FitDenim,6-8 Days,In-Stock
MS013,Women Partywear Gown,Clothing,Gowns,2499,1199,4.3,380,StyleQueen,7-9 Days,In-Stock
MS014,Ceramic Coffee Mug Set,Home,Kitchen,599,349,4.4,510,MugMasters,4-6 Days,In-Stock
MS015,Digital Kids Wristwatch,Kids,Accessories,499,249,4,450,KidsWorld,5-7 Days,In-Stock
MS016,Women Slippers Flip-Flops,Footwear,Flats,399,159,4.2,780,SoftSteps,4-6 Days,In-Stock
MS017,Men Analog Leather Watch,Accessories,Watches,1299,699,4.3,620,TimeCraft,5-7 Days,In-Stock
MS018,Cotton Double Dohar,Home,Bedding,1499,749,4.4,530,CozyHome,6-8 Days,In-Stock
MS019,Women Georgette Dupatta,Clothing,Dupattas,299,149,4.1,800,EthnicStyle,3-5 Days,In-Stock
MS020,Men Casual Sneakers,Footwear,Casual Shoes,999,549,4.2,690,StepUp,5-7 Days,In-Stock
MS021,Baby Soft Cotton Blanket,Kids,Baby Essentials,699,349,4.5,420,BabyNest,6-8 Days,In-Stock
MS022,Women Hair Clutcher Pack of 3,Beauty,Accessories,199,99,4,1150,BeautyBasics,3-5 Days,In-Stock
MS023,Stainless Steel Lunch Box,Home,Kitchen,699,349,4.2,590,HomeWare,4-6 Days,In-Stock
MS024,Men Polo T-Shirt,Men Fashion,T-Shirts,699,299,4.3,880,PoloTrend,4-6 Days,In-Stock
MS025,Women Printed Night Suit,Clothing,Nightwear,899,449,4.4,710,SleepSoft,6-8 Days,In-Stock
MS026,Kids Learning Writing Board,Kids,Toys,599,299,4.5,650,FunLearn,3-5 Days,In-Stock
MS027,Women Stylish Jutti,Footwear,Ethnic,799,399,4.3,510,JuttiHub,4-6 Days,In-Stock
MS028,Men Cotton Trackpants,Men Fashion,Bottomwear,899,499,4.1,720,TrackFit,5-7 Days,In-Stock
MS029,Women Designer Necklace Set,Jewellery,Necklaces,1299,649,4.4,580,ShineJewels,4-6 Days,In-Stock
MS030,Bathroom Anti-Slip Mat,Home,Bath,499,229,4.2,450,HomeSafety,3-5 Days,In-Stock
